"","Country.Name","Region","IncomeGroup","year","CO2","GDP"
"1","Afghanistan","South Asia","Low income",1990,2380000,3.622e+09
"2","Afghanistan","South Asia","Low income",1991,2230000,3.34e+09
"3","Afghanistan","South Asia","Low income",1992,1390000,3.475e+09
"4","Afghanistan","South Asia","Low income",1993,1340000,2.664e+09
"5","Afghanistan","South Asia","Low income",1994,1290000,2.115e+09
"6","Afghanistan","South Asia","Low income",1995,1240000,3.236e+09
"7","Afghanistan","South Asia","Low income",1996,1180000,3.124e+09
"8","Afghanistan","South Asia","Low income",1997,1100000,3.016e+09
"9","Afghanistan","South Asia","Low income",1998,1040000,2.912e+09
"10","Afghanistan","South Asia","Low income",1999,810000,2.72e+09
"11","Afghanistan","South Asia","Low income",2000,760000,3.532e+09
"12","Afghanistan","South Asia","Low income",2001,730000,2.462e+09
"13","Afghanistan","South Asia","Low income",2002,1030000,4055179566
"14","Afghanistan","South Asia","Low income",2003,1220000,4515558808
"15","Afghanistan","South Asia","Low income",2004,1030000,5226778809
"16","Afghanistan","South Asia","Low income",2005,1550000,6209137625
"17","Afghanistan","South Asia","Low income",2006,1760000,6971285595
"18","Afghanistan","South Asia","Low income",2007,1770000,9747879532
"19","Afghanistan","South Asia","Low income",2008,3560000,10109305183
"20","Afghanistan","South Asia","Low income",2009,4880000,12416161049
"21","Afghanistan","South Asia","Low income",2010,7110000,15856678596
"22","Afghanistan","South Asia","Low income",2011,8930000,17805113119
"23","Afghanistan","South Asia","Low income",2012,8080000,19907317066
"24","Afghanistan","South Asia","Low income",2013,5990000,20146404996
"25","Afghanistan","South Asia","Low income",2014,4880000,20497126770
"26","Afghanistan","South Asia","Low income",2015,5950000,19134211764
"27","Afghanistan","South Asia","Low income",2016,5300000,18116562465
"28","Afghanistan","South Asia","Low income",2017,4780000,18753469630
"29","Afghanistan","South Asia","Low income",2018,6070000,18053228579
"30","Afghanistan","South Asia","Low income",2019,6080000,18799450743
"31","Albania","Europe & Central Asia","Upper middle income",1990,5979999.99999999,2028553750
"32","Albania","Europe & Central Asia","Upper middle income",1991,4059999.99999999,1099559027.77778
"33","Albania","Europe & Central Asia","Upper middle income",1992,2220000,652174990.837304
"34","Albania","Europe & Central Asia","Upper middle income",1993,2060000,1185315468.46295
"35","Albania","Europe & Central Asia","Upper middle income",1994,2070000,1880951520.3972
"36","Albania","Europe & Central Asia","Upper middle income",1995,1930000,2392764853.42107
"37","Albania","Europe & Central Asia","Upper middle income",1996,1940000,3199641335.93751
"38","Albania","Europe & Central Asia","Upper middle income",1997,1470000,2258513974.0968
"39","Albania","Europe & Central Asia","Upper middle income",1998,1790000,2545964540.88383
"40","Albania","Europe & Central Asia","Upper middle income",1999,2970000,3212121650.97755
"41","Albania","Europe & Central Asia","Upper middle income",2000,3170000.00000001,3480355258.04122
"42","Albania","Europe & Central Asia","Upper middle income",2001,3229999.99999999,3922100793.5403
"43","Albania","Europe & Central Asia","Upper middle income",2002,3759999.99046326,4348068242.19512
"44","Albania","Europe & Central Asia","Upper middle income",2003,4070000.17166139,5611496257.14231
"45","Albania","Europe & Central Asia","Upper middle income",2004,4249999.99999999,7184685781.51876
"46","Albania","Europe & Central Asia","Upper middle income",2005,4030000.20980836,8052073539.38058
"47","Albania","Europe & Central Asia","Upper middle income",2006,4010000.22888184,8896072918.9814
"48","Albania","Europe & Central Asia","Upper middle income",2007,4139999.8664856,10677324144.4289
"49","Albania","Europe & Central Asia","Upper middle income",2008,4079999.92370605,12881353507.8539
"50","Albania","Europe & Central Asia","Upper middle income",2009,4219999.79019166,12044208085.864
"51","Albania","Europe & Central Asia","Upper middle income",2010,4449999.80926513,11926922828.9911
"52","Albania","Europe & Central Asia","Upper middle income",2011,4849999.90463256,12890764531.3284
"53","Albania","Europe & Central Asia","Upper middle income",2012,4360000.1335144,12319830437.3467
"54","Albania","Europe & Central Asia","Upper middle income",2013,4440000.05722046,12776220507.0162
"55","Albania","Europe & Central Asia","Upper middle income",2014,4820000.17166137,13228147516.1168
"56","Albania","Europe & Central Asia","Upper middle income",2015,4619999.88555907,11386850129.8411
"57","Albania","Europe & Central Asia","Upper middle income",2016,4480000.0190735,11861199830.8396
"58","Albania","Europe & Central Asia","Upper middle income",2017,5139999.86648561,13019689336.6919
"59","Albania","Europe & Central Asia","Upper middle income",2018,5110000.13351441,15156432309.8977
"60","Albania","Europe & Central Asia","Upper middle income",2019,4829999.92370604,15401830754.0773
"61","Algeria","Middle East & North Africa","Lower middle income",1990,62940000,62048562947.2509
"62","Algeria","Middle East & North Africa","Lower middle income",1991,66430000.0000001,45715614559.7064
"63","Algeria","Middle East & North Africa","Lower middle income",1992,66840000.0000001,48003078388.5401
"64","Algeria","Middle East & North Africa","Lower middle income",1993,72220000,49945599428.5812
"65","Algeria","Middle East & North Africa","Lower middle income",1994,73610000,42543178042.4148
"66","Algeria","Middle East & North Africa","Lower middle income",1995,76440000,41764315330.4366
"67","Algeria","Middle East & North Africa","Lower middle income",1996,76120000,46941582519.4661
"68","Algeria","Middle East & North Africa","Lower middle income",1997,74430000,48177612042.1507
"69","Algeria","Middle East & North Africa","Lower middle income",1998,74650000.0000001,48187747528.899
"70","Algeria","Middle East & North Africa","Lower middle income",1999,77509999.9999999,48640653469.3025
"71","Algeria","Middle East & North Africa","Lower middle income",2000,80050000,54790392746.1939
"72","Algeria","Middle East & North Africa","Lower middle income",2001,78650000.0000001,54744712814.8676
"73","Algeria","Middle East & North Africa","Lower middle income",2002,82400001.525879,56760355865.0082
"74","Algeria","Middle East & North Africa","Lower middle income",2003,88190002.4414062,67863828412.6882
