"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","c1990","c1991","c1992","c1993","c1994","c1995","c1996","c1997","c1998","c1999","c2000","c2001","c2002","c2003","c2004","c2005","c2006","c2007","c2008","c2009","c2010","c2011","c2012","c2013","c2014","c2015","c2016","c2017","c2018","c2019","Region","IncomeGroup"
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD",3.622e+09,3.34e+09,3.475e+09,2.664e+09,2.115e+09,3.236e+09,3.124e+09,3.016e+09,2.912e+09,2.72e+09,3.532e+09,2.462e+09,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109305183,12416161049,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,2380000,2230000,1390000,1340000,1290000,1240000,1180000,1100000,1040000,810000,760000,730000,1030000,1220000,1030000,1550000,1760000,1770000,3560000,4880000,7110000,8930000,8080000,5990000,4880000,5950000,5300000,4780000,6070000,6080000,"South Asia","Low income"
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD",11228764963.2353,10603784541.197,8307810973.58848,5768720421.61367,4438321017.39068,5538749259.94714,7526446605.51712,7648377412.83277,6506229607.29432,6152922942.98032,9129594818.60749,8936063723.20121,15285594828.418,17812704825.1957,23552047248.4301,36970918699.2523,52381006892.038,65266452081.386,88538610805.3214,70307166934.3311,81699556136.6643,109436531427.069,124998158417.861,133401594460.922,137244418012.553,87219290028.7263,49840494025.5166,68972763787.1547,77792940077.1193,69309104806.6311,6560000,6669999.99999999,6880000,9270000,11300000,12720000,15440000,16160000,16770000,17610000.0000001,16200000,15960000,15689999.5803833,16760000.2288818,17450000.7629395,15810000.4196167,16559999.4659424,16969999.3133545,19280000.6866455,21149999.6185303,22799999.2370605,23870000.8392334,23870000.8392334,26959999.0844726,29629999.1607665,31649999.6185303,29760000.2288819,24250000,23959999.0844727,25209999.0844727,"Sub-Saharan Africa","Lower middle income"
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD",2028553750,1099559027.77778,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199641335.93751,2258513974.0968,2545964540.88383,3212121650.97755,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.864,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15401830754.0773,5979999.99999999,4059999.99999999,2220000,2060000,2070000,1930000,1940000,1470000,1790000,2970000,3170000.00000001,3229999.99999999,3759999.99046326,4070000.17166139,4249999.99999999,4030000.20980836,4010000.22888184,4139999.8664856,4079999.92370605,4219999.79019166,4449999.80926513,4849999.90463256,4360000.1335144,4440000.05722046,4820000.17166137,4619999.88555907,4480000.0190735,5139999.86648561,5110000.13351441,4829999.92370604,"Europe & Central Asia","Upper middle income"
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD",1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1429049198.45218,1546926174.49664,1755910031.99699,2361726862.30248,2894921777.99851,3159905484.39249,3456442102.622,3952600602.24473,4085630584.44412,3674409558.21061,3449925738.86069,3629133574.27783,3188652765.36184,3193512950.02419,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,410000,410000,410000,410000,410000,430000,450000,470000,490000,510000,520000,520000,529999.971389771,529999.971389771,560000.002384186,579999.983310699,550000.011920929,540000.021457672,540000.021457672,519999.980926514,519999.980926514,490000.009536743,490000.009536743,479999.989271164,460000.00834465,469999.998807907,469999.998807907,469999.998807907,490000.009536743,5e+05,"Europe & Central Asia","High income"
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD",50701443748.2975,51552165622.4462,54239171887.769,55625170253.337,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,289787452661.511,350666058392.172,374590657683.251,390107528483.058,403137207534.971,358134944420.504,357045156018.56,385605506854.881,422215043584.969,417215559513.364,55210000,61560000,59700000,63620000,70780000,75170000,78530000,81440000.0000001,83450000,85679999.9999999,84730000,97200000.0000001,99150001.5258789,103819999.694824,110010002.13623,116459999.084473,121559997.558594,131830001.831055,156050003.051758,157020004.272461,162789993.286133,165600006.103516,175589996.337891,184470001.220703,184759994.506836,195240005.493164,201080001.831055,197039993.286133,177119995.117188,188860000.610352,"Middle East & North Africa","High income"
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",141352368714.691,189719984268.485,228788617201.696,236741715015.015,2.5744e+11,258031750000,272149750000,2.92859e+11,298948250000,2.83523e+11,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,452818426182.658,100320000,105920000,107930000,110260000,111910000,112890000,122550000,126120000,132670000,134510000,132270000,125260000,117470001.220703,127660003.662109,141380004.882813,145990005.493164,154899993.896484,162809997.558594,167229995.727539,156570007.324219,167220001.220703,176639999.389648,177960006.713867,183250000,179600006.103516,185550003.051758,183160003.662109,179320007.324219,176899993.896484,168100006.103516,"Latin America & Caribbean","Upper middle income"
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD",2256838857.60997,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,19850000,20690000,10900000,5040000,2740000,3510000.00000001,2580000,3339999.99999999,3470000,3109999.99999999,3560000.00000001,3600000.00000001,3119999.88555907,3499999.99999999,3759999.99046327,4460000.03814698,4489999.77111815,5199999.80926513,5690000.05722045,4510000.22888183,4340000.15258788,4940000.05722046,5719999.79019165,5499999.99999999,5480000.01907349,5340000.1525879,5070000.17166136,5369999.88555908,5710000.03814697,6170000.07629396,"Europe & Central Asia","Upper middle income"
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD",459470370.37037,481707407.407407,499281481.481481,535174074.074074,589429629.62963,577281481.481481,633729629.62963,680618518.518518,727859259.259259,766200000,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,210000,220000,290000,250000,250000,270000,280000,290000,320000,330000,330000,350000,389999.985694885,409999.996423721,400000.005960464,409999.996423721,439999.997615814,460000.00834465,479999.989271164,1389999.98569489,490000.009536743,540000.021457672,699999.988079071,469999.998807907,479999.989271164,490000.009536743,5e+05,5e+05,509999.990463257,519999.980926514,"Latin America & Caribbean","High income"
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD",311326664101.578,325902990346.127,325480273782.973,312126194491.287,322807333102.733,367915800415.8,401089529590.288,435323994365.315,399404463135.047,389098884572.001,415576210513.094,379083932596.329,395342716617.832,467390797903.32,614166310997.297,695075176665.163,747556154537.287,853955405511.502,1055127126230.98,928042998085.702,1147589183475.73,1397907916789.9,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,263629999.999999,264760000,268400000.000001,273049999.999999,280180000.000001,290180000,300810000.000001,307850000.000001,328619999.999999,333710000.000001,339450000,345639999.999999,353369995.117189,352579986.572267,365809997.558593,370089996.337891,375489990.234375,385750000,388940002.441405,395290008.544921,387540008.544923,386380004.882812,386970001.220704,380279998.779298,371630004.882813,377799987.792969,384989990.234374,389160003.66211,387070007.32422,386529998.779296,"East Asia & Pacific","High income"
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD",166463386179.354,173794177961.108,195078126721.763,190379720809.18,203535242741.838,241038283062.645,237250948791.266,212790348404.555,218259904401.956,217259147049.954,197289625479.906,197508773215.323,214394866675.24,262273631180.054,301457562038.541,316092273276.015,336280064332.411,389185571506.052,432051935642.945,401758735822.211,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,455168151938.941,445011872704.47,58270000,62420000,57660000,57800000,58280000,61180000,64900000,64220000,64670000,63050000,63530000,67910000,69370002.746582,74459999.0844727,75800003.0517578,76239997.8637695,74099998.4741211,71239997.8637695,70730003.3569336,64419998.1689453,69959999.0844727,68269996.6430665,65110000.6103516,65750000,62049999.2370605,63240001.6784668,63680000.3051758,65860000.6103516,63060001.373291,64769996.6430664,"Europe & Central Asia","High income"
